timestamp_unix,timestamp_iso,participant_full_id,accelerometers_std_g,missing_value_reason
1711616640000,2024-03-28T09:04:00Z,288-1-1-116,,device_not_recording
1711616700000,2024-03-28T09:05:00Z,288-1-1-116,,device_not_recording
1711616760000,2024-03-28T09:06:00Z,288-1-1-116,,device_not_recording
1711616820000,2024-03-28T09:07:00Z,288-1-1-116,,device_not_recording
1711616880000,2024-03-28T09:08:00Z,288-1-1-116,,device_not_recording
1711616940000,2024-03-28T09:09:00Z,288-1-1-116,,device_not_recording
1711617000000,2024-03-28T09:10:00Z,288-1-1-116,,device_not_recording
1711617060000,2024-03-28T09:11:00Z,288-1-1-116,,device_not_recording
1711617120000,2024-03-28T09:12:00Z,288-1-1-116,,device_not_recording
1711617180000,2024-03-28T09:13:00Z,288-1-1-116,,device_not_recording
1711617240000,2024-03-28T09:14:00Z,288-1-1-116,,device_not_recording
1711617300000,2024-03-28T09:15:00Z,288-1-1-116,,device_not_recording
1711617360000,2024-03-28T09:16:00Z,288-1-1-116,,device_not_recording
1711617420000,2024-03-28T09:17:00Z,288-1-1-116,,device_not_recording
1711617480000,2024-03-28T09:18:00Z,288-1-1-116,,device_not_recording
1711617540000,2024-03-28T09:19:00Z,288-1-1-116,,device_not_recording
1711617600000,2024-03-28T09:20:00Z,288-1-1-116,,device_not_recording
1711617660000,2024-03-28T09:21:00Z,288-1-1-116,,device_not_recording
1711617720000,2024-03-28T09:22:00Z,288-1-1-116,,device_not_recording
1711617780000,2024-03-28T09:23:00Z,288-1-1-116,,device_not_recording
1711617840000,2024-03-28T09:24:00Z,288-1-1-116,,device_not_recording
1711617900000,2024-03-28T09:25:00Z,288-1-1-116,,device_not_recording
1711617960000,2024-03-28T09:26:00Z,288-1-1-116,,device_not_recording
1711618020000,2024-03-28T09:27:00Z,288-1-1-116,,device_not_recording
1711618080000,2024-03-28T09:28:00Z,288-1-1-116,,device_not_recording
1711618140000,2024-03-28T09:29:00Z,288-1-1-116,,device_not_recording
1711618200000,2024-03-28T09:30:00Z,288-1-1-116,,device_not_recording
1711618260000,2024-03-28T09:31:00Z,288-1-1-116,,device_not_recording
1711618320000,2024-03-28T09:32:00Z,288-1-1-116,,device_not_recording
1711618380000,2024-03-28T09:33:00Z,288-1-1-116,,device_not_recording
1711618440000,2024-03-28T09:34:00Z,288-1-1-116,,device_not_recording
1711618500000,2024-03-28T09:35:00Z,288-1-1-116,,device_not_recording
1711618560000,2024-03-28T09:36:00Z,288-1-1-116,,device_not_recording
1711618620000,2024-03-28T09:37:00Z,288-1-1-116,,device_not_recording
1711618680000,2024-03-28T09:38:00Z,288-1-1-116,,device_not_recording
1711618740000,2024-03-28T09:39:00Z,288-1-1-116,,device_not_recording
1711618800000,2024-03-28T09:40:00Z,288-1-1-116,,device_not_recording
1711618860000,2024-03-28T09:41:00Z,288-1-1-116,,device_not_recording
1711618920000,2024-03-28T09:42:00Z,288-1-1-116,,device_not_recording
1711618980000,2024-03-28T09:43:00Z,288-1-1-116,,device_not_recording
1711619040000,2024-03-28T09:44:00Z,288-1-1-116,,device_not_recording
1711619100000,2024-03-28T09:45:00Z,288-1-1-116,,device_not_recording
1711619160000,2024-03-28T09:46:00Z,288-1-1-116,,device_not_recording
1711619220000,2024-03-28T09:47:00Z,288-1-1-116,,device_not_recording
1711619280000,2024-03-28T09:48:00Z,288-1-1-116,,device_not_recording
1711619340000,2024-03-28T09:49:00Z,288-1-1-116,,device_not_recording
1711619400000,2024-03-28T09:50:00Z,288-1-1-116,,device_not_recording
1711619460000,2024-03-28T09:51:00Z,288-1-1-116,,device_not_recording
1711619520000,2024-03-28T09:52:00Z,288-1-1-116,,device_not_recording
1711619580000,2024-03-28T09:53:00Z,288-1-1-116,,device_not_recording
1711619640000,2024-03-28T09:54:00Z,288-1-1-116,,device_not_recording
1711619700000,2024-03-28T09:55:00Z,288-1-1-116,,device_not_recording
1711619760000,2024-03-28T09:56:00Z,288-1-1-116,,device_not_recording
1711619820000,2024-03-28T09:57:00Z,288-1-1-116,,device_not_recording
1711619880000,2024-03-28T09:58:00Z,288-1-1-116,,device_not_recording
