timestamp_unix,timestamp_iso,participant_full_id,sleep_detection_stage,missing_value_reason
1703129520000,2023-12-21T03:32:00Z,288-1-1-009,101,
1703129580000,2023-12-21T03:33:00Z,288-1-1-009,101,
1703129640000,2023-12-21T03:34:00Z,288-1-1-009,101,
1703129700000,2023-12-21T03:35:00Z,288-1-1-009,101,
1703129760000,2023-12-21T03:36:00Z,288-1-1-009,102,
1703129820000,2023-12-21T03:37:00Z,288-1-1-009,102,
1703129880000,2023-12-21T03:38:00Z,288-1-1-009,102,
1703129940000,2023-12-21T03:39:00Z,288-1-1-009,102,
1703130000000,2023-12-21T03:40:00Z,288-1-1-009,102,
1703130060000,2023-12-21T03:41:00Z,288-1-1-009,102,
1703130120000,2023-12-21T03:42:00Z,288-1-1-009,102,
1703130180000,2023-12-21T03:43:00Z,288-1-1-009,102,
1703130240000,2023-12-21T03:44:00Z,288-1-1-009,102,
1703130300000,2023-12-21T03:45:00Z,288-1-1-009,102,
1703130360000,2023-12-21T03:46:00Z,288-1-1-009,101,
1703130420000,2023-12-21T03:47:00Z,288-1-1-009,101,
1703130480000,2023-12-21T03:48:00Z,288-1-1-009,101,
1703130540000,2023-12-21T03:49:00Z,288-1-1-009,101,
1703130600000,2023-12-21T03:50:00Z,288-1-1-009,101,
1703130660000,2023-12-21T03:51:00Z,288-1-1-009,101,
1703130720000,2023-12-21T03:52:00Z,288-1-1-009,101,
1703130780000,2023-12-21T03:53:00Z,288-1-1-009,101,
1703130840000,2023-12-21T03:54:00Z,288-1-1-009,101,
1703130900000,2023-12-21T03:55:00Z,288-1-1-009,101,
1703130960000,2023-12-21T03:56:00Z,288-1-1-009,101,
1703131020000,2023-12-21T03:57:00Z,288-1-1-009,102,
1703131080000,2023-12-21T03:58:00Z,288-1-1-009,102,
1703131140000,2023-12-21T03:59:00Z,288-1-1-009,101,
1703131200000,2023-12-21T04:00:00Z,288-1-1-009,101,
1703131260000,2023-12-21T04:01:00Z,288-1-1-009,101,
1703131320000,2023-12-21T04:02:00Z,288-1-1-009,101,
1703131380000,2023-12-21T04:03:00Z,288-1-1-009,101,
1703131440000,2023-12-21T04:04:00Z,288-1-1-009,101,
1703131500000,2023-12-21T04:05:00Z,288-1-1-009,101,
1703131560000,2023-12-21T04:06:00Z,288-1-1-009,101,
1703131620000,2023-12-21T04:07:00Z,288-1-1-009,101,
1703131680000,2023-12-21T04:08:00Z,288-1-1-009,101,
1703131740000,2023-12-21T04:09:00Z,288-1-1-009,101,
1703131800000,2023-12-21T04:10:00Z,288-1-1-009,101,
1703131860000,2023-12-21T04:11:00Z,288-1-1-009,101,
1703131920000,2023-12-21T04:12:00Z,288-1-1-009,101,
1703131980000,2023-12-21T04:13:00Z,288-1-1-009,101,
1703132040000,2023-12-21T04:14:00Z,288-1-1-009,101,
1703132100000,2023-12-21T04:15:00Z,288-1-1-009,101,
1703132160000,2023-12-21T04:16:00Z,288-1-1-009,101,
1703132220000,2023-12-21T04:17:00Z,288-1-1-009,101,
1703132280000,2023-12-21T04:18:00Z,288-1-1-009,101,
1703132340000,2023-12-21T04:19:00Z,288-1-1-009,101,
1703132400000,2023-12-21T04:20:00Z,288-1-1-009,101,
1703132460000,2023-12-21T04:21:00Z,288-1-1-009,101,
1703132520000,2023-12-21T04:22:00Z,288-1-1-009,101,
1703132580000,2023-12-21T04:23:00Z,288-1-1-009,102,
1703132640000,2023-12-21T04:24:00Z,288-1-1-009,101,
1703132700000,2023-12-21T04:25:00Z,288-1-1-009,101,
1703132760000,2023-12-21T04:26:00Z,288-1-1-009,102,
1703132820000,2023-12-21T04:27:00Z,288-1-1-009,102,
1703132880000,2023-12-21T04:28:00Z,288-1-1-009,102,
1703132940000,2023-12-21T04:29:00Z,288-1-1-009,102,
1703133000000,2023-12-21T04:30:00Z,288-1-1-009,102,
1703133060000,2023-12-21T04:31:00Z,288-1-1-009,102,
1703133120000,2023-12-21T04:32:00Z,288-1-1-009,102,
1703133180000,2023-12-21T04:33:00Z,288-1-1-009,102,
1703133240000,2023-12-21T04:34:00Z,288-1-1-009,101,
1703133300000,2023-12-21T04:35:00Z,288-1-1-009,102,
1703133360000,2023-12-21T04:36:00Z,288-1-1-009,102,
1703133420000,2023-12-21T04:37:00Z,288-1-1-009,102,
1703133480000,2023-12-21T04:38:00Z,288-1-1-009,102,
1703133540000,2023-12-21T04:39:00Z,288-1-1-009,102,
1703133600000,2023-12-21T04:40:00Z,288-1-1-009,102,
1703133660000,2023-12-21T04:41:00Z,288-1-1-009,102,
1703133720000,2023-12-21T04:42:00Z,288-1-1-009,102,
1703133780000,2023-12-21T04:43:00Z,288-1-1-009,102,
1703133840000,2023-12-21T04:44:00Z,288-1-1-009,101,
1703133900000,2023-12-21T04:45:00Z,288-1-1-009,101,
1703133960000,2023-12-21T04:46:00Z,288-1-1-009,101,
1703134020000,2023-12-21T04:47:00Z,288-1-1-009,101,
1703134080000,2023-12-21T04:48:00Z,288-1-1-009,102,
1703134140000,2023-12-21T04:49:00Z,288-1-1-009,102,
1703134200000,2023-12-21T04:50:00Z,288-1-1-009,102,
