timestamp_unix,timestamp_iso,participant_full_id,pulse_rate_bpm,missing_value_reason
1710136920000,2024-03-11T06:02:00Z,288-1-1-114,87,
1710136980000,2024-03-11T06:03:00Z,288-1-1-114,86,
1710137040000,2024-03-11T06:04:00Z,288-1-1-114,70,
1710137100000,2024-03-11T06:05:00Z,288-1-1-114,45,
1710137160000,2024-03-11T06:06:00Z,288-1-1-114,54,
1710137220000,2024-03-11T06:07:00Z,288-1-1-114,65,
1710137280000,2024-03-11T06:08:00Z,288-1-1-114,42,
1710137340000,2024-03-11T06:09:00Z,288-1-1-114,34,
1710137400000,2024-03-11T06:10:00Z,288-1-1-114,77,
1710137460000,2024-03-11T06:11:00Z,288-1-1-114,86,
1710137520000,2024-03-11T06:12:00Z,288-1-1-114,82,
1710137580000,2024-03-11T06:13:00Z,288-1-1-114,87,
1710137640000,2024-03-11T06:14:00Z,288-1-1-114,84,
1710137700000,2024-03-11T06:15:00Z,288-1-1-114,77,
1710137760000,2024-03-11T06:16:00Z,288-1-1-114,77,
1710137820000,2024-03-11T06:17:00Z,288-1-1-114,79,
1710137880000,2024-03-11T06:18:00Z,288-1-1-114,85,
1710137940000,2024-03-11T06:19:00Z,288-1-1-114,81,
1710138000000,2024-03-11T06:20:00Z,288-1-1-114,82,
1710138060000,2024-03-11T06:21:00Z,288-1-1-114,87,
1710138120000,2024-03-11T06:22:00Z,288-1-1-114,90,
1710138180000,2024-03-11T06:23:00Z,288-1-1-114,92,
1710138240000,2024-03-11T06:24:00Z,288-1-1-114,103,
1710138300000,2024-03-11T06:25:00Z,288-1-1-114,91,
1710138360000,2024-03-11T06:26:00Z,288-1-1-114,92,
1710138420000,2024-03-11T06:27:00Z,288-1-1-114,86,
1710138480000,2024-03-11T06:28:00Z,288-1-1-114,80,
1710138540000,2024-03-11T06:29:00Z,288-1-1-114,85,
1710138600000,2024-03-11T06:30:00Z,288-1-1-114,86,
1710138660000,2024-03-11T06:31:00Z,288-1-1-114,85,
1710138720000,2024-03-11T06:32:00Z,288-1-1-114,92,
1710138780000,2024-03-11T06:33:00Z,288-1-1-114,76,
1710138840000,2024-03-11T06:34:00Z,288-1-1-114,84,
1710138900000,2024-03-11T06:35:00Z,288-1-1-114,81,
1710138960000,2024-03-11T06:36:00Z,288-1-1-114,85,
1710139020000,2024-03-11T06:37:00Z,288-1-1-114,87,
1710139080000,2024-03-11T06:38:00Z,288-1-1-114,83,
1710139140000,2024-03-11T06:39:00Z,288-1-1-114,88,
1710139200000,2024-03-11T06:40:00Z,288-1-1-114,81,
1710139260000,2024-03-11T06:41:00Z,288-1-1-114,73,
1710139320000,2024-03-11T06:42:00Z,288-1-1-114,61,
1710139380000,2024-03-11T06:43:00Z,288-1-1-114,86,
1710139440000,2024-03-11T06:44:00Z,288-1-1-114,105,
1710139500000,2024-03-11T06:45:00Z,288-1-1-114,100,
1710139560000,2024-03-11T06:46:00Z,288-1-1-114,106,
1710139620000,2024-03-11T06:47:00Z,288-1-1-114,97,
1710139680000,2024-03-11T06:48:00Z,288-1-1-114,84,
1710139740000,2024-03-11T06:49:00Z,288-1-1-114,69,
1710139800000,2024-03-11T06:50:00Z,288-1-1-114,78,
1710139860000,2024-03-11T06:51:00Z,288-1-1-114,83,
1710139920000,2024-03-11T06:52:00Z,288-1-1-114,83,
1710139980000,2024-03-11T06:53:00Z,288-1-1-114,70,
1710140040000,2024-03-11T06:54:00Z,288-1-1-114,80,
1710140100000,2024-03-11T06:55:00Z,288-1-1-114,74,
1710140160000,2024-03-11T06:56:00Z,288-1-1-114,64,
1710140220000,2024-03-11T06:57:00Z,288-1-1-114,49,
1710140280000,2024-03-11T06:58:00Z,288-1-1-114,66,
