timestamp_unix,timestamp_iso,participant_full_id,activity_intensity,missing_value_reason
1712124540000,2024-04-03T06:09:00Z,288-1-1-116,LPA,
1712124600000,2024-04-03T06:10:00Z,288-1-1-116,sedentary,
1712124660000,2024-04-03T06:11:00Z,288-1-1-116,sedentary,
1712124720000,2024-04-03T06:12:00Z,288-1-1-116,sedentary,
1712124780000,2024-04-03T06:13:00Z,288-1-1-116,sedentary,
1712124840000,2024-04-03T06:14:00Z,288-1-1-116,LPA,
1712124900000,2024-04-03T06:15:00Z,288-1-1-116,LPA,
1712124960000,2024-04-03T06:16:00Z,288-1-1-116,sedentary,
1712125020000,2024-04-03T06:17:00Z,288-1-1-116,sedentary,
1712125080000,2024-04-03T06:18:00Z,288-1-1-116,sedentary,
1712125140000,2024-04-03T06:19:00Z,288-1-1-116,sedentary,
1712125200000,2024-04-03T06:20:00Z,288-1-1-116,sedentary,
1712125260000,2024-04-03T06:21:00Z,288-1-1-116,sedentary,
1712125320000,2024-04-03T06:22:00Z,288-1-1-116,sedentary,
1712125380000,2024-04-03T06:23:00Z,288-1-1-116,sedentary,
1712125440000,2024-04-03T06:24:00Z,288-1-1-116,sedentary,
1712125500000,2024-04-03T06:25:00Z,288-1-1-116,sedentary,
1712125560000,2024-04-03T06:26:00Z,288-1-1-116,sedentary,
1712125620000,2024-04-03T06:27:00Z,288-1-1-116,sedentary,
1712125680000,2024-04-03T06:28:00Z,288-1-1-116,sedentary,
1712125740000,2024-04-03T06:29:00Z,288-1-1-116,sedentary,
1712125800000,2024-04-03T06:30:00Z,288-1-1-116,sedentary,
1712125860000,2024-04-03T06:31:00Z,288-1-1-116,sedentary,
1712125920000,2024-04-03T06:32:00Z,288-1-1-116,sedentary,
1712125980000,2024-04-03T06:33:00Z,288-1-1-116,MPA,
1712126040000,2024-04-03T06:34:00Z,288-1-1-116,MPA,
