timestamp_unix,timestamp_iso,participant_full_id,eda_scl_usiemens,missing_value_reason
1709960880000,2024-03-09T05:08:00Z,288-1-1-114,,device_not_recording
1709960940000,2024-03-09T05:09:00Z,288-1-1-114,,device_not_recording
1709961000000,2024-03-09T05:10:00Z,288-1-1-114,,device_not_recording
1709961060000,2024-03-09T05:11:00Z,288-1-1-114,,device_not_recording
1709961120000,2024-03-09T05:12:00Z,288-1-1-114,,device_not_recording
1709961180000,2024-03-09T05:13:00Z,288-1-1-114,,device_not_recording
1709961240000,2024-03-09T05:14:00Z,288-1-1-114,,device_not_recording
1709961300000,2024-03-09T05:15:00Z,288-1-1-114,,device_not_recording
1709961360000,2024-03-09T05:16:00Z,288-1-1-114,,device_not_recording
1709961420000,2024-03-09T05:17:00Z,288-1-1-114,,device_not_recording
1709961480000,2024-03-09T05:18:00Z,288-1-1-114,,device_not_recording
1709961540000,2024-03-09T05:19:00Z,288-1-1-114,,device_not_recording
1709961600000,2024-03-09T05:20:00Z,288-1-1-114,,device_not_recording
1709961660000,2024-03-09T05:21:00Z,288-1-1-114,,device_not_recording
1709961720000,2024-03-09T05:22:00Z,288-1-1-114,,device_not_recording
1709961780000,2024-03-09T05:23:00Z,288-1-1-114,,device_not_recording
1709961840000,2024-03-09T05:24:00Z,288-1-1-114,,device_not_recording
1709961900000,2024-03-09T05:25:00Z,288-1-1-114,,device_not_recording
1709961960000,2024-03-09T05:26:00Z,288-1-1-114,,device_not_recording
1709962020000,2024-03-09T05:27:00Z,288-1-1-114,,device_not_recording
1709962080000,2024-03-09T05:28:00Z,288-1-1-114,,device_not_recording
1709962140000,2024-03-09T05:29:00Z,288-1-1-114,,device_not_recording
1709962200000,2024-03-09T05:30:00Z,288-1-1-114,,device_not_recording
1709962260000,2024-03-09T05:31:00Z,288-1-1-114,,device_not_recording
1709962320000,2024-03-09T05:32:00Z,288-1-1-114,,device_not_recording
1709962380000,2024-03-09T05:33:00Z,288-1-1-114,,device_not_recording
1709962440000,2024-03-09T05:34:00Z,288-1-1-114,,device_not_recording
1709962500000,2024-03-09T05:35:00Z,288-1-1-114,,device_not_recording
1709962560000,2024-03-09T05:36:00Z,288-1-1-114,,device_not_recording
1709962620000,2024-03-09T05:37:00Z,288-1-1-114,,device_not_recording
1709962680000,2024-03-09T05:38:00Z,288-1-1-114,,device_not_recording
1709962740000,2024-03-09T05:39:00Z,288-1-1-114,,device_not_recording
1709962800000,2024-03-09T05:40:00Z,288-1-1-114,,device_not_recording
